"0","date","time","season","trend","volume"
142.9503675436219,"2016/10/18","2:0:0","-55.5837270041","60.8226766719","5.0"
150.34796811461814,"2016/10/18","2:20:0","-55.5837270041","60.8226766719","4.0"
139.41564746978815,"2016/10/18","2:40:0","-55.5837270041","60.8226766719","3.0"
129.86096925798248,"2016/10/18","3:0:0","-57.1267825597","60.8226766719","6.0"
122.41072705122536,"2016/10/18","3:40:0","-57.1267825597","60.8226766719","4.0"
72.25504251663635,"2016/10/18","6:0:0","-40.7760881153","60.8226766719","23.0"
115.51402218934285,"2016/10/18","6:20:0","-40.7760881153","60.8226766719","29.0"
146.1916192768698,"2016/10/18","6:40:0","-40.7760881153","60.8226766719","50.0"
187.80219424427736,"2016/10/18","7:0:0","2.9607174403","60.7434008713","56.0"
228.13219938950033,"2016/10/18","7:20:0","2.9607174403","60.7400013342","77.0"
258.8363443590925,"2016/10/18","7:40:0","2.9607174403","60.7400013342","91.0"
1531.4265934189627,"2016/10/18","8:0:0","52.0437035514","60.7483663104","119.0"
1654.279666315802,"2016/10/18","8:20:0","52.0437035514","60.751375328","101.0"
1585.9416958123634,"2016/10/18","8:40:0","52.0437035514","60.751375328","136.0"
1292.3925028841652,"2016/10/18","9:0:0","62.199259107","60.751375328","120.0"
1523.710654969777,"2016/10/18","9:20:0","62.199259107","60.7509158677","136.0"
1009.2008863227583,"2016/10/18","9:40:0","62.199259107","60.7437692883","99.0"
1464.0878361916068,"2016/10/18","10:0:0","23.2676618847","60.3464567518","81.0"
1476.5398242095846,"2016/10/18","10:20:0","23.2676618847","60.3424696586","79.0"
1444.8311050300363,"2016/10/18","10:40:0","23.2676618847","60.3424696586","88.0"
1247.4082369642897,"2016/10/18","11:0:0","14.408634107","60.3351049292","76.0"
1544.7483107893706,"2016/10/18","11:20:0","14.408634107","60.3227389487","70.0"
1144.1678506506514,"2016/10/18","11:40:0","14.408634107","60.3207627181","66.0"
1062.732322197986,"2016/10/18","12:0:0","32.4526034052","60.3147166042","74.0"
1012.8960127132174,"2016/10/18","12:20:0","32.4526034052","60.3147166042","89.0"
