date,hour,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation
2016/7/1,0,1000.4,1005.3,225.0,2.1,26.4,94,0.0
2016/7/1,3,1000.5,1005.3,187.0,2.7,29.0,76,0.0
2016/7/1,6,998.9,1003.7,212.0,2.9,31.7,67,0.0
2016/7/1,9,998.7,1003.5,244.0,2.7,31.6,59,0.0
2016/7/1,12,999.7,1004.5,222.0,1.3,29.9,68,0.0
2016/7/1,15,1000.0,1004.8,102.0,1.6,27.8,82,0.0
2016/7/1,18,998.8,1003.6,202.0,1.9,26.0,89,0.0
2016/7/1,21,1000.2,1005.0,334.0,2.2,25.5,90,0.0
2016/7/2,0,1001.6,1006.4,315.0,1.8,26.8,82,0.0
2016/7/2,3,1002.4,1007.2,46.0,3.2,30.0,70,0.0
2016/7/2,6,1001.3,1006.2,37.0,2.2,29.3,80,1.0
2016/7/2,9,1001.9,1006.8,345.0,2.4,25.9,95,10.2
2016/7/2,12,1003.6,1008.5,113.0,1.0,25.1,94,0.2
2016/7/2,15,1002.4,1007.3,138.0,1.0,25.3,96,0.0
2016/7/2,18,1000.9,1005.8,221.0,0.7,25.4,96,0.0
2016/7/2,21,1000.9,1005.8,180.34,0.1,25.2,98,0.0
2016/7/3,0,1001.5,1006.4,220.0,1.5,25.8,97,0.0
2016/7/3,3,1001.5,1006.4,200.0,1.6,27.0,93,0.1
2016/7/3,6,1000.8,1005.7,207.0,1.8,27.4,92,0.0
2016/7/3,9,1000.8,1005.7,223.0,1.1,27.7,91,0.1
2016/7/3,12,1001.6,1006.5,137.0,0.6,26.9,91,0.0
2016/7/3,15,1002.2,1007.1,173.0,0.4,26.0,96,0.1
2016/7/3,18,1000.5,1005.4,330.0,0.7,25.7,98,0.4
2016/7/3,21,1000.4,1005.3,180.34,0.0,25.7,98,0.0
2016/7/4,0,1000.6,1005.5,176.0,2.0,26.3,97,0.0
2016/7/4,3,1000.5,1005.3,179.0,2.1,31.8,69,0.0
2016/7/4,6,999.7,1004.5,160.0,1.7,34.7,56,0.0
2016/7/4,9,998.8,1003.6,287.0,1.4,34.8,55,0.0
2016/7/4,12,1001.1,1006.0,340.0,1.0,29.7,78,0.0
2016/7/4,15,1001.1,1005.9,188.0,1.3,27.8,79,0.0
2016/7/4,18,1000.8,1005.6,188.0,2.2,27.7,80,0.0
2016/7/4,21,1002.8,1007.6,261.0,0.3,26.5,87,0.0
2016/7/5,0,1003.9,1008.7,205.0,2.0,28.9,78,0.0
2016/7/5,3,1004.7,1009.5,122.0,1.2,33.2,62,0.0
2016/7/5,6,1003.7,1008.5,192.0,3.2,34.8,53,0.0
2016/7/5,9,1004.4,1009.3,334.0,5.3,28.7,74,0.0
2016/7/5,12,1006.7,1011.6,287.0,0.7,25.7,91,0.7
2016/7/5,15,1006.8,1011.7,224.0,2.0,25.0,93,0.7
2016/7/5,18,1006.5,1011.3,205.0,1.0,24.7,96,0.0
2016/7/5,21,1006.8,1011.7,229.0,1.2,24.6,96,0.0
2016/7/6,0,1007.5,1012.4,188.0,1.4,26.0,90,0.0
2016/7/6,3,1007.5,1012.4,183.0,2.3,32.0,63,0.0
2016/7/6,6,1006.4,1011.2,98.0,2.2,34.7,54,0.0
2016/7/6,9,1004.8,1009.6,94.0,2.0,34.2,54,0.0
2016/7/6,12,1006.0,1010.9,348.0,2.6,30.5,76,0.0
2016/7/6,15,1006.4,1011.2,326.0,1.9,28.4,84,0.0
2016/7/6,18,1005.5,1010.3,302.0,2.8,27.3,92,0.0
2016/7/6,21,1005.8,1010.6,311.0,1.5,26.9,93,0.0
2016/7/7,0,1005.8,1010.6,160.0,1.9,30.4,72,0.0
2016/7/7,3,1005.9,1010.7,276.0,1.1,32.0,63,0.0
2016/7/7,6,1003.7,1008.5,336.0,2.7,32.4,69,0.0
2016/7/7,9,1002.5,1007.3,76.0,5.1,31.5,68,0.0
2016/7/7,12,1003.4,1008.2,108.0,1.4,28.2,71,0.0
2016/7/7,15,1002.9,1007.7,47.0,2.1,28.0,84,0.0
2016/7/7,18,1002.4,1007.2,63.0,2.1,27.1,89,0.0
2016/7/7,21,1002.1,1006.9,24.0,1.8,26.8,90,0.0
2016/7/8,0,1002.8,1007.7,62.0,3.3,27.7,83,0.0
2016/7/8,3,1001.7,1006.5,100.0,3.3,31.5,65,0.0
2016/7/8,6,1000.5,1005.3,95.0,4.6,29.6,73,0.0
2016/7/8,9,999.1,1003.9,80.0,3.3,31.5,64,0.0
2016/7/8,12,1000.4,1005.2,56.0,2.9,28.3,79,0.0
2016/7/8,15,1000.4,1005.2,62.0,3.6,27.3,84,0.0
2016/7/8,18,999.3,1004.1,70.0,1.9,27.2,86,0.0
2016/7/8,21,999.7,1004.5,73.0,1.8,26.9,89,0.0
2016/7/9,0,1000.0,1004.8,76.0,1.8,27.2,89,0.0
2016/7/9,3,999.4,1004.2,78.0,3.7,29.4,78,0.0
2016/7/9,6,998.1,1002.9,85.0,4.4,30.1,74,0.0
