"intersection_id","tollgate_id","time_window","avg_travel_time"
"B","1","[2016-10-19 08:40:00,2016-10-19 09:00:00)","122.220572909"
"A","3","[2016-10-18 09:00:00,2016-10-18 09:20:00)","118.275914063"
"C","3","[2016-10-19 18:00:00,2016-10-19 18:20:00)","172.409401945"
"B","3","[2016-10-24 08:40:00,2016-10-24 09:00:00)","103.494320288"
"B","3","[2016-10-18 08:20:00,2016-10-18 08:40:00)","97.2817564812"
"B","1","[2016-10-23 17:00:00,2016-10-23 17:20:00)","131.273036021"
"B","3","[2016-10-18 09:40:00,2016-10-18 10:00:00)","103.801412314"
"A","2","[2016-10-24 08:00:00,2016-10-24 08:20:00)","60.3602790992"
"A","3","[2016-10-20 17:40:00,2016-10-20 18:00:00)","120.512371073"
"B","1","[2016-10-23 09:00:00,2016-10-23 09:20:00)","121.334307218"
"C","1","[2016-10-22 08:00:00,2016-10-22 08:20:00)","201.10908329"
"C","1","[2016-10-19 18:00:00,2016-10-19 18:20:00)","191.312252541"
"B","3","[2016-10-19 18:20:00,2016-10-19 18:40:00)","98.5093767681"
"C","3","[2016-10-21 08:00:00,2016-10-21 08:20:00)","168.816073023"
"C","1","[2016-10-18 17:40:00,2016-10-18 18:00:00)","199.261366961"
"A","3","[2016-10-24 17:40:00,2016-10-24 18:00:00)","118.108666702"
"C","3","[2016-10-22 18:00:00,2016-10-22 18:20:00)","178.57391626"
"A","3","[2016-10-22 17:40:00,2016-10-22 18:00:00)","119.665062044"
"C","1","[2016-10-21 18:40:00,2016-10-21 19:00:00)","214.805765592"
"B","3","[2016-10-21 09:00:00,2016-10-21 09:20:00)","101.418430247"
"B","3","[2016-10-19 09:40:00,2016-10-19 10:00:00)","105.232740444"
"A","3","[2016-10-23 09:00:00,2016-10-23 09:20:00)","114.401134747"
"A","2","[2016-10-20 08:00:00,2016-10-20 08:20:00)","59.6748064398"
"B","1","[2016-10-18 08:40:00,2016-10-18 09:00:00)","120.362405087"
"C","1","[2016-10-22 18:20:00,2016-10-22 18:40:00)","198.660659824"
"A","3","[2016-10-21 09:40:00,2016-10-21 10:00:00)","117.778664085"
"A","2","[2016-10-19 18:00:00,2016-10-19 18:20:00)","63.0756567629"
"A","2","[2016-10-21 17:20:00,2016-10-21 17:40:00)","65.5734595052"
"A","2","[2016-10-18 18:00:00,2016-10-18 18:20:00)","70.352997796"
"B","3","[2016-10-23 18:40:00,2016-10-23 19:00:00)","104.501852495"
"A","2","[2016-10-21 08:40:00,2016-10-21 09:00:00)","59.7226300119"
"B","1","[2016-10-23 09:20:00,2016-10-23 09:40:00)","121.949436973"
"C","3","[2016-10-21 09:20:00,2016-10-21 09:40:00)","170.43939616"
